McGuire,Seanan/Grant,Mira [suppor0.13991769547325103]
Schwab,V.E./Schwab,Victoria [suppor0.13991769547325103]
VanderMeer,Jeff [suppor0.2345679012345679]
Staveley,Brian [suppor0.06995884773662552]
Walton,Jo [suppor0.12757201646090535]
Hurley,Kameron [suppor0.13580246913580246]
Aaron,Rachel/Bach,Rachel [suppor0.2345679012345679]
Atwood,Margaret [suppor0.09876543209876543]
Bear,Elizabeth [suppor0.11934156378600823]
Kowal,MaryRobinette [suppor0.1111111111111111]
Vaughan,BrianK. [suppor0.12345679012345678]
Wight,Will [suppor0.06995884773662552]
Zelazny,Roger [suppor0.13580246913580246]
Elliott,Kate/Rasmussen,AlisA. [suppor0.08641975308641975]
Malerman,Josh [suppor0.07818930041152264]
Patrick,Benedict [suppor0.09876543209876543]
Erikson,Steven [suppor0.08641975308641975]
Butler,OctaviaE. [suppor0.09053497942386832]
Gladstone,Max [suppor0.18106995884773663]
Okorafor,Nnedi [suppor0.09053497942386832]
Liu,Ken [suppor0.102880658436214]
Powers,Tim [suppor0.07407407407407407]
Huff,Tanya [suppor0.0823045267489712]
Polansky,Daniel [suppor0.06995884773662552]
Lee,YoonHa [suppor0.09876543209876543]
Bancroft,Josiah, Brennan,Marie [support = 0.115]
Brennan,Marie, Mieville,China [support = 0.091]
Bancroft,Josiah, Mieville,China [support = 0.119]
Jemisin,N.K., Valente,CatherynneM. [support = 0.115]
Lawrence,Mark, VanderMeer,Jeff [support = 0.115]
Jemisin,N.K., Mieville,China [support = 0.091]
Bancroft,Josiah, Lynch,Scott [support = 0.107]
Eames,Nicholas, Sullivan,MichaelJ. [support = 0.086]
Abercrombie,Joe, Lawrence,Mark [support = 0.099]
Bancroft,Josiah, VanderMeer,Jeff [support = 0.111]
Gaiman,Neil, VanderMeer,Jeff [support = 0.099]
Eames,Nicholas, Mieville,China [support = 0.099]
Lawrence,Mark, Lynch,Scott [support = 0.095]
Pratchett,Terry, VanderMeer,Jeff [support = 0.091]
Gaiman,Neil, Lynch,Scott [support = 0.095]
Bancroft,Josiah, Hawkins,Scott [support = 0.091]
Bancroft,Josiah, Valente,CatherynneM. [support = 0.086]
Hobb,Robin/Lindholm,Megan, Mieville,China [support = 0.099]
McClellan,Brian, Sanderson,Brandon [support = 0.111]
Mieville,China, Sanderson,Brandon [support = 0.111]
Bancroft,Josiah, McClellan,Brian [support = 0.082]
Eames,Nicholas, Lynch,Scott [support = 0.091]
Gaiman,Neil, Jemisin,N.K. [support = 0.095]
Gaiman,Neil, Novik,Naomi [support = 0.095]
Lynch,Scott, Pratchett,Terry [support = 0.099]
Lynch,Scott, Sanderson,Brandon [support = 0.099]
Jemisin,N.K., Lawrence,Mark [support = 0.099]
Bancroft,Josiah, Chambers,Becky [support = 0.107]
Hobb,Robin/Lindholm,Megan, Jemisin,N.K. [support = 0.123]
Abercrombie,Joe, Gaiman,Neil [support = 0.099]
Bancroft,Josiah, King,Stephen [support = 0.095]
Hobb,Robin/Lindholm,Megan, Sanderson,Brandon [support = 0.128]
Gaiman,Neil, Sullivan,MichaelJ. [support = 0.099]
Addison,Katherine/Monette,Sarah, Pratchett,Terry [support = 0.082]
Butcher,Jim, Sanderson,Brandon [support = 0.107]
Hobb,Robin/Lindholm,Megan, Lynch,Scott [support = 0.082]
Eames,Nicholas, Jemisin,N.K. [support = 0.091]
Jemisin,N.K., LeGuin,UrsulaK. [support = 0.107]
Jemisin,N.K., Lynch,Scott [support = 0.074]
King,Stephen, Sanderson,Brandon [support = 0.103]
Abercrombie,Joe, Eames,Nicholas [support = 0.082]
Hobb,Robin/Lindholm,Megan, King,Stephen [support = 0.095]
Sanderson,Brandon, VanderMeer,Jeff [support = 0.111]
Jemisin,N.K., Sullivan,MichaelJ. [support = 0.082]
Addison,Katherine/Monette,Sarah, Gaiman,Neil [support = 0.099]
Chambers,Becky, Sanderson,Brandon [support = 0.099]
Addison,Katherine/Monette,Sarah, Hobb,Robin/Lindholm,Megan [support = 0.095]
Hobb,Robin/Lindholm,Megan, Novik,Naomi [support = 0.086]
Addison,Katherine/Monette,Sarah, Eames,Nicholas [support = 0.074]
Bancroft,Josiah, Herbert,Frank [support = 0.086]
Eames,Nicholas, Gaiman,Neil [support = 0.091]
Jemisin,N.K., VanderMeer,Jeff [support = 0.086]
Addison,Katherine/Monette,Sarah, McClellan,Brian [support = 0.082]
Gaiman,Neil, McClellan,Brian [support = 0.074]
Gaiman,Neil, Rowe,Andrew [support = 0.091]
North,Claire/Webb,Catherine/Griffin,Kate, Sanderson,Brandon [support = 0.082]
Abercrombie,Joe, Pratchett,Terry [support = 0.078]
Brennan,Marie, Gladstone,Max [support = 0.078]
Brennan,Marie, Sanderson,Brandon [support = 0.091]
Bancroft,Josiah, Gladstone,Max [support = 0.086]
Bancroft,Josiah, North,Claire/Webb,Catherine/Griffin,Kate [support = 0.074]
Addison,Katherine/Monette,Sarah, Novik,Naomi [support = 0.091]
Abercrombie,Joe, Addison,Katherine/Monette,Sarah [support = 0.07]
Abercrombie,Joe, Jemisin,N.K. [support = 0.074]
Addison,Katherine/Monette,Sarah, Jemisin,N.K. [support = 0.082]
Addison,Katherine/Monette,Sarah, Rowe,Andrew [support = 0.074]
Addison,Katherine/Monette,Sarah, VanderMeer,Jeff [support = 0.078]
Bancroft,Josiah, Butcher,Jim [support = 0.078]
Gaiman,Neil, Hobb,Robin/Lindholm,Megan [support = 0.082]
Hobb,Robin/Lindholm,Megan, Pratchett,Terry [support = 0.082]
Hobb,Robin/Lindholm,Megan, Rowe,Andrew [support = 0.082]
Jemisin,N.K., Pratchett,Terry [support = 0.082]
Bancroft,Josiah, Kay,GuyGavriel [support = 0.086]
Bancroft,Josiah, LeGuin,UrsulaK. [support = 0.086]
Eames,Nicholas, VanderMeer,Jeff [support = 0.074]
King,Stephen, Lawrence,Mark [support = 0.078]
Lynch,Scott, VanderMeer,Jeff [support = 0.078]
Eames,Nicholas, Pratchett,Terry [support = 0.078]
Eames,Nicholas, Rowe,Andrew [support = 0.07]
Gaiman,Neil, Herbert,Frank [support = 0.074]
King,Stephen, Rowe,Andrew [support = 0.074]
Lawrence,Mark, Novik,Naomi [support = 0.082]
LeGuin,UrsulaK., Sanderson,Brandon [support = 0.091]
Abercrombie,Joe, Rowe,Andrew [support = 0.07]
Bancroft,Josiah, Hurley,Kameron [support = 0.078]
Gaiman,Neil, Mieville,China [support = 0.082]
LeGuin,UrsulaK., Mieville,China [support = 0.078]
Brennan,Marie, Novik,Naomi [support = 0.078]
Brennan,Marie, Pratchett,Terry [support = 0.074]
Mieville,China, Novik,Naomi [support = 0.074]
Jemisin,N.K., Rowe,Andrew [support = 0.074]
Eames,Nicholas, King,Stephen [support = 0.074]
Eames,Nicholas, Novik,Naomi [support = 0.074]
Bancroft,Josiah, Schafer,Courtney [support = 0.074]
Gaiman,Neil, King,Stephen [support = 0.074]
King,Stephen, Novik,Naomi [support = 0.07]
Lawrence,Mark, Mieville,China [support = 0.074]
King,Stephen, Pratchett,Terry [support = 0.07]
*N/A, Sanderson,Brandon [support = 0.086]
Gaiman,Neil, LeGuin,UrsulaK. [support = 0.074]
Addison,Katherine/Monette,Sarah, Lynch,Scott [support = 0.07]
Chambers,Becky, VanderMeer,Jeff [support = 0.07]
Herbert,Frank, VanderMeer,Jeff [support = 0.07]
Bancroft,Josiah, Smith,Sherwood [support = 0.07]
Bancroft,Josiah, Vaughan,BrianK. [support = 0.07]
Brennan,Marie, LeGuin,UrsulaK. [support = 0.07]
Jemisin,N.K., North,Claire/Webb,Catherine/Griffin,Kate [support = 0.07]
Jemisin,N.K., Wecker,Helene [support = 0.07]
Ball,KristaD./Ball,K., Sanderson,Brandon [support = 0.07]
LeGuin,UrsulaK., Novik,Naomi [support = 0.07]
Bancroft,Josiah, Zelazny,Roger [support = 0.07]
Bancroft,Josiah, Pratchett,Terry, Sanderson,Brandon [support = 0.082]
Bancroft,Josiah, Eames,Nicholas, Sanderson,Brandon [support = 0.082]
Bancroft,Josiah, Novik,Naomi, Sanderson,Brandon [support = 0.095]
Addison,Katherine/Monette,Sarah, Bancroft,Josiah, Sanderson,Brandon [support = 0.086]
Bancroft,Josiah, Gaiman,Neil, Lawrence,Mark [support = 0.082]
Bancroft,Josiah, Gaiman,Neil, Sanderson,Brandon [support = 0.078]
Bancroft,Josiah, Lawrence,Mark, Sanderson,Brandon [support = 0.086]
Bancroft,Josiah, Gaiman,Neil, Pratchett,Terry [support = 0.074]
Bancroft,Josiah, Lawrence,Mark, Pratchett,Terry [support = 0.074]
Bancroft,Josiah, Lawrence,Mark, Sullivan,MichaelJ. [support = 0.074]
Bancroft,Josiah, Jemisin,N.K., Sanderson,Brandon [support = 0.091]
Bancroft,Josiah, Rowe,Andrew, Sanderson,Brandon [support = 0.07]
Gaiman,Neil, Pratchett,Terry, Sanderson,Brandon [support = 0.07]
Abercrombie,Joe, Bancroft,Josiah, Sanderson,Brandon [support = 0.07]
Addison,Katherine/Monette,Sarah, Bancroft,Josiah, Lawrence,Mark [support = 0.074]
Bancroft,Josiah, Hobb,Robin/Lindholm,Megan, Lawrence,Mark [support = 0.07]
Addison,Katherine/Monette,Sarah, Lawrence,Mark, Sanderson,Brandon [support = 0.07]
Jemisin,N.K., Novik,Naomi, Sanderson,Brandon [support = 0.07]
Lawrence,Mark, Rowe,Andrew, Sanderson,Brandon [support = 0.07]
Bancroft,Josiah, Eames,Nicholas, Lawrence,Mark [support = 0.07]
Bancroft,Josiah, Pratchett,Terry, Sullivan,MichaelJ. [support = 0.07]
